user_id	event_id	event_location	event_category	user_location
CSGARAGECLUB	11120051	江西南昌	music	湖南长沙
CSGARAGECLUB	11284931	江苏南京	music	湖南长沙
CSGARAGECLUB	12157426	上海	music	湖南长沙
CSGARAGECLUB	11851174	湖南长沙	party	湖南长沙
CSGARAGECLUB	11819628	上海	music	湖南长沙
CSGARAGECLUB	11755691	北京	music	湖南长沙
CSGARAGECLUB	13630872	安徽合肥	music	湖南长沙
vw	17179272	上海	music	上海
vw	10942915	上海	music	上海
vw	10264359	上海	sports	上海
vw	12462047	上海	music	上海
vw	10079669	上海	party	上海
2550672	10816053	北京	party	北京
2550672	10813712	北京	music	北京
2550672	11111696	北京	music	北京
2550672	10787553	北京	music	北京
2550672	10308700	北京	music	北京
2550672	11755691	北京	music	北京
2550672	15118567	北京	music	北京
2550672	14718577	北京	music	北京
2550672	11120447	北京	music	北京
2550672	15423644	北京	music	北京
2550672	11132368	北京	music	北京
2550672	11633950	北京	music	北京
shayier	12790900	四川成都	music	四川成都
shayier	15847096	四川成都	music	四川成都
shayier	14474886	四川成都	party	四川成都
shayier	14822301	四川成都	music	四川成都
shayier	12497376	四川成都	music	四川成都
shayier	17517777	四川成都	music	四川成都
shayier	16989851	四川成都	music	四川成都
1294059	10370704	浙江杭州	drama	上海
1294059	10421103	上海	music	上海
1294059	10338688	上海	drama	上海
1294059	10713116	上海	music	上海
1294059	11590479	北京	film	上海
1294059	10736187	上海	music	上海
1294059	10077417	上海	music	上海
4735582	11171141	上海	travel	上海
4735582	15298574	上海	music	上海
4735582	12359368	浙江杭州	music	上海
4735582	14732485	上海	music	上海
4735582	14448878	上海	others	上海
4735582	16676438	上海	music	上海
4735582	16072194	上海	music	上海
chinesexx	10073648	上海	travel	上海
chinesexx	15298574	上海	music	上海
chinesexx	10823799	上海	music	上海
chinesexx	10209959	北京	others	上海
chinesexx	10198990	上海	commonweal	上海
chinesexx	10077417	上海	music	上海
zuwa007	10912131	上海	music	上海
zuwa007	13425513	北京	music	上海
zuwa007	10753608	上海	music	上海
zuwa007	14775705	上海	music	上海
zuwa007	11283214	上海	music	上海
zuwa007	10942775	上海	music	上海
zuwa007	10459670	上海	music	上海
zuwa007	10823799	上海	music	上海
zuwa007	10523066	上海	music	上海
zuwa007	13772609	上海	drama	上海
zuwa007	11182389	上海	music	上海
zuwa007	11131314	上海	music	上海
zuwa007	10942915	上海	music	上海
zuwa007	12157426	上海	music	上海
zuwa007	12434962	上海	music	上海
zuwa007	10112192	上海	music	上海
2283238	14086836	北京	music	北京
2283238	17159397	北京	others	北京
2283238	14295814	北京	music	北京
2283238	16057653	北京	music	北京
2283238	17529205	北京	salon	北京
2283238	14100468	北京	music	北京
2283238	13766804	北京	music	北京
1640237	10453553	广东广州	exhibition	广东广州
1640237	13245686	广东广州	salon	广东广州
1640237	10216843	浙江杭州	party	广东广州
1640237	10029194	广东广州	salon	广东广州
1640237	10546344	广东珠海	film	广东广州
1640237	15624682	广东广州	others	广东广州
1640237	10212910	浙江衢州	exhibition	广东广州
1640237	11591552	广东广州	exhibition	广东广州
1640237	10835240	广东广州	salon	广东广州
