user_id	event_id	event_location	event_category	user_location
5172565	16617400	北京	music	北京
5172565	14078702	北京	film	北京
5172565	13291628	北京	music	北京
5172565	14175479	北京	music	北京
5172565	16413876	北京	music	北京
5172565	16325733	北京	salon	北京
5172565	16035460	北京	music	北京
5172565	13773086	北京	others	北京
5172565	13295238	北京	drama	北京
5172565	16438919	北京	music	北京
hamuleiteshimo	10073648	上海	travel	北京
hamuleiteshimo	10240031	北京	music	北京
hamuleiteshimo	10687008	北京	music	北京
hamuleiteshimo	11650182	北京	party	北京
hamuleiteshimo	10492704	北京	drama	北京
hamuleiteshimo	11482382	上海	exhibition	北京
hamuleiteshimo	11172587	北京	salon	北京
E7	13289804	北京	music	北京
E7	12531432	北京	others	北京
E7	13102161	北京	music	北京
E7	13740970	北京	salon	北京
E7	11753343	北京	music	北京
E7	15598413	北京	film	北京
E7	11908311	北京	salon	北京
E7	11539566	北京	salon	北京
E7	10779598	北京	music	北京
my19	16088033	浙江杭州	exhibition	四川成都
my19	10843846	四川成都	film	四川成都
my19	16256250	北京	salon	四川成都
my19	15405720	四川成都	film	四川成都
my19	17336637	北京	film	四川成都
my19	15808664	四川成都	film	四川成都
my19	14836892	四川成都	film	四川成都
my19	14239662	四川成都	music	四川成都
QP	12971631	北京	party	上海
QP	13628401	上海	music	上海
QP	10397682	北京	music	上海
QP	12157426	上海	music	上海
QP	10941510	广东广州	music	上海
1654707	10805574	上海	music	上海
1654707	11282829	上海	music	上海
1654707	14161357	北京	music	上海
1654707	10459670	上海	music	上海
1654707	13111680	浙江宁波	music	上海
te	10475992	浙江宁波	others	北京
te	13423901	北京	music	北京
te	14718577	北京	music	北京
te	15423644	北京	music	北京
te	11633950	北京	music	北京
te	13306332	北京	music	北京
te	14458248	北京	music	北京
te	13102161	北京	music	北京
te	11753343	北京	music	北京
te	13766804	北京	music	北京
te	15118567	北京	music	北京
te	10239244	北京	music	北京
te	15427562	北京	party	北京
te	11854275	北京	music	北京
te	14782565	北京	music	北京
te	10300314	北京	party	北京
mrkg	10537542	北京	exhibition	北京
